submission_id,problem_id,user_id,date,language,original_language,filename_ext,status,cpu_time,memory,code_size,accuracy
s705091831,p00006,u233505136,1516956973,Rust,Rust,rs,WA: Presentation Error,0,5012,237,0/1
s078884114,p00006,u233505136,1516957066,Rust,Rust,rs,Accepted,0,5016,244,1/1
s229978352,p00006,u444102531,1518470365,Rust,Rust,rs,WA: Presentation Error,0,5028,160,0/1
s662310412,p00006,u444102531,1518470506,Rust,Rust,rs,Accepted,0,5024,167,1/1
s711119610,p00006,u158509913,1534840814,JavaScript,JavaScript,js,Accepted,80,15252,301,1/1
s917019829,p00006,u540218629,1424265639,JavaScript,JavaScript,js,WA: Presentation Error,20,7380,110,0/1
s346747918,p00006,u540218629,1424265691,JavaScript,JavaScript,js,Accepted,20,7380,119,1/1
s615162090,p00006,u759826653,1429055821,JavaScript,JavaScript,js,Accepted,20,7380,163,1/1
s221333313,p00006,u798885156,1431672067,JavaScript,JavaScript,js,Runtime Error,0,0,205,0/1
s395084526,p00006,u798885156,1431672185,JavaScript,JavaScript,js,WA: Presentation Error,20,7648,224,0/1
s731329823,p00006,u798885156,1431672461,JavaScript,JavaScript,js,Accepted,20,7640,239,1/1
s713092620,p00006,u340523328,1432168614,JavaScript,JavaScript,js,Accepted,20,7380,104,1/1
s304077513,p00006,u340523328,1432168767,JavaScript,JavaScript,js,Accepted,20,7380,96,1/1
s838990732,p00006,u798885156,1448977137,JavaScript,JavaScript,js,WA: Presentation Error,60,15392,156,0/1
s511560520,p00006,u324596395,1451458967,JavaScript,JavaScript,js,WA: Presentation Error,60,15540,720,0/1
s179895620,p00006,u324596395,1451459032,JavaScript,JavaScript,js,Wrong Answer,50,15508,720,0/1
s695244281,p00006,u324596395,1451459387,JavaScript,JavaScript,js,Accepted,110,15408,721,1/1
s973626826,p00006,u655168177,1458278027,JavaScript,JavaScript,js,Accepted,60,15576,595,1/1
s115937324,p00006,u149181280,1466398192,JavaScript,JavaScript,js,WA: Presentation Error,60,15392,91,0/1
s866063421,p00006,u149181280,1466398484,JavaScript,JavaScript,js,WA: Presentation Error,50,15476,92,0/1
s505933788,p00006,u149181280,1466399349,JavaScript,JavaScript,js,Accepted,60,15432,110,1/1
s962355616,p00006,u027868841,1470465941,JavaScript,JavaScript,js,WA: Presentation Error,60,15420,276,0/1
s939229756,p00006,u027868841,1470466003,JavaScript,JavaScript,js,Accepted,60,15596,283,1/1
s090656537,p00006,u110079031,1477662044,JavaScript,JavaScript,js,WA: Presentation Error,60,15312,420,0/1
s003458863,p00006,u110079031,1477662207,JavaScript,JavaScript,js,Accepted,60,15412,255,1/1
s542149244,p00006,u193012322,1478060301,JavaScript,JavaScript,js,WA: Presentation Error,50,15376,207,0/1
s791178018,p00006,u193012322,1478060378,JavaScript,JavaScript,js,WA: Presentation Error,50,15300,216,0/1
s290856341,p00006,u193012322,1478060512,JavaScript,JavaScript,js,WA: Presentation Error,50,15444,223,0/1
s767696491,p00006,u193012322,1478060567,JavaScript,JavaScript,js,Accepted,60,15396,214,1/1
s584927768,p00006,u646888701,1478764922,JavaScript,JavaScript,js,Wrong Answer,50,15184,207,0/1
s624799469,p00006,u646888701,1478765649,JavaScript,JavaScript,js,Runtime Error,0,0,290,0/1
s763379747,p00006,u646888701,1478765763,JavaScript,JavaScript,js,Wrong Answer,50,15328,256,0/1
s258842356,p00006,u646888701,1478765869,JavaScript,JavaScript,js,Runtime Error,0,0,262,0/1
s718054035,p00006,u646888701,1478769384,JavaScript,JavaScript,js,Runtime Error,0,0,305,0/1
s360567689,p00006,u646888701,1478769551,JavaScript,JavaScript,js,WA: Presentation Error,50,15544,290,0/1
s179451937,p00006,u646888701,1478769706,JavaScript,JavaScript,js,Runtime Error,0,0,255,0/1
s172997219,p00006,u646888701,1478769840,JavaScript,JavaScript,js,Wrong Answer,50,15468,243,0/1
s002207958,p00006,u646888701,1478770060,JavaScript,JavaScript,js,Wrong Answer,60,15412,210,0/1
s764536155,p00006,u646888701,1478770301,JavaScript,JavaScript,js,WA: Presentation Error,50,15508,278,0/1
s580014607,p00006,u646888701,1478770382,JavaScript,JavaScript,js,WA: Presentation Error,60,15460,271,0/1
s777755146,p00006,u646888701,1478770768,JavaScript,JavaScript,js,WA: Presentation Error,60,15460,243,0/1
s502281459,p00006,u646888701,1478771085,JavaScript,JavaScript,js,Runtime Error,0,0,272,0/1
s948747811,p00006,u646888701,1478771133,JavaScript,JavaScript,js,WA: Presentation Error,50,15460,271,0/1
s599394626,p00006,u646888701,1478771230,JavaScript,JavaScript,js,WA: Presentation Error,60,15592,209,0/1
s652460442,p00006,u646888701,1478771323,JavaScript,JavaScript,js,Wrong Answer,60,15444,211,0/1
s058037211,p00006,u646888701,1478771361,JavaScript,JavaScript,js,WA: Presentation Error,50,15260,209,0/1
s979852928,p00006,u646888701,1478771874,JavaScript,JavaScript,js,Wrong Answer,50,15460,169,0/1
s235462972,p00006,u646888701,1478771919,JavaScript,JavaScript,js,Runtime Error,0,0,180,0/1
s587770747,p00006,u646888701,1478773638,JavaScript,JavaScript,js,Wrong Answer,50,15000,86,0/1
s260313048,p00006,u646888701,1478773674,JavaScript,JavaScript,js,Wrong Answer,50,15124,104,0/1
s946302923,p00006,u646888701,1478774218,JavaScript,JavaScript,js,Runtime Error,0,0,51,0/1
s980007788,p00006,u646888701,1478774293,JavaScript,JavaScript,js,Runtime Error,0,0,72,0/1
s013812654,p00006,u646888701,1478774662,JavaScript,JavaScript,js,Runtime Error,0,0,53,0/1
s269787066,p00006,u646888701,1478774708,JavaScript,JavaScript,js,Runtime Error,0,0,75,0/1
s893576195,p00006,u646888701,1478774752,JavaScript,JavaScript,js,Wrong Answer,50,15196,64,0/1
s564519424,p00006,u646888701,1478782599,JavaScript,JavaScript,js,WA: Presentation Error,50,15516,209,0/1
s369577042,p00006,u646888701,1478782702,JavaScript,JavaScript,js,WA: Presentation Error,60,15540,161,0/1
s188913375,p00006,u646888701,1478782825,JavaScript,JavaScript,js,Runtime Error,0,0,146,0/1
s015849557,p00006,u646888701,1478782883,JavaScript,JavaScript,js,WA: Presentation Error,60,15408,149,0/1
s275544047,p00006,u646888701,1478783853,JavaScript,JavaScript,js,WA: Presentation Error,50,15508,198,0/1
s294412670,p00006,u646888701,1478784108,JavaScript,JavaScript,js,WA: Presentation Error,50,15404,193,0/1
s139719362,p00006,u646888701,1478790872,JavaScript,JavaScript,js,WA: Presentation Error,50,15548,209,0/1
s764781754,p00006,u646888701,1478791183,JavaScript,JavaScript,js,WA: Presentation Error,50,15480,278,0/1
s584924339,p00006,u646888701,1478791422,JavaScript,JavaScript,js,WA: Presentation Error,60,15472,337,0/1
s831367788,p00006,u646888701,1478791589,JavaScript,JavaScript,js,WA: Presentation Error,50,15528,287,0/1
s750817911,p00006,u646888701,1478791644,JavaScript,JavaScript,js,Wrong Answer,60,15412,240,0/1
s193881709,p00006,u901358120,1479108680,JavaScript,JavaScript,js,Wrong Answer,50,15476,152,0/1
s960569821,p00006,u901358120,1479108713,JavaScript,JavaScript,js,WA: Presentation Error,60,15296,243,0/1
s070160239,p00006,u901358120,1479118070,JavaScript,JavaScript,js,Wrong Answer,60,15528,243,0/1
s731638343,p00006,u901358120,1479118126,JavaScript,JavaScript,js,WA: Presentation Error,50,15384,278,0/1
s590910227,p00006,u901358120,1479118381,JavaScript,JavaScript,js,Runtime Error,0,0,311,0/1
s804620606,p00006,u901358120,1479118410,JavaScript,JavaScript,js,Runtime Error,0,0,310,0/1
s771359837,p00006,u901358120,1479118427,JavaScript,JavaScript,js,Runtime Error,0,0,312,0/1
s833214011,p00006,u901358120,1479118453,JavaScript,JavaScript,js,WA: Presentation Error,50,15540,278,0/1
s600569058,p00006,u901358120,1479118501,JavaScript,JavaScript,js,Wrong Answer,50,15264,152,0/1
s393368197,p00006,u901358120,1479118542,JavaScript,JavaScript,js,WA: Presentation Error,50,15512,193,0/1
s742988422,p00006,u558442027,1480320179,JavaScript,JavaScript,js,Accepted,50,15460,117,1/1
s545533115,p00006,u568697849,1485393392,JavaScript,JavaScript,js,Wrong Answer,60,15376,236,0/1
